Japanese text;English text
foo;bar
俺の名前はあああぁああ。ここ、私立きらめき高校の新入生だ。;My name is Aaahhhh. I am a new student at Kirameki Private High School.
無理だと思っていた第一志望だったが、選良く合格することができた。;I was thinking it was impossible, but I was able to pass my first choice.
最高の気分だぜ。密かに想っている、藤崎詩織と同じ学校に入学できたんだから。;I'm in the best mood. Because I was able to secretly enter the same school as Shiori Fujisaki, who I have feelings for.
実は．．．。彼女とは小学校からの幼なじみで、家も隣りどうしなんだけれど．．．;Actually... She and I have been childhood friends since elementary school, and our houses are next to each other...
密かに想っている、藤崎詩織と同じ学校に入学できたんだから。;I was able to enter the same school as Shiori Fujisaki, who I secretly have feelings for.
俺と比べて、月とスッポン。だから、いまだに友達以上の関係には．．．。;"""Compared to me, the moon and a soft-shelled turtle. That's why we still have a relationship that's more than just friends..."""
よう。何しけた面してんだよ。;Hello. What kind of expression do you have on your face?
俺、早乙女好雄。これからよ;I'm Yoshio Saotome. Nice to meet you!
あ、あぁ．．．。別に．．．。くなわなわしい奴だなぁ．．．。;Ah, um... It's nothing really... Just a troublesome person...
俺、早乙女好雄。これからよろしくな。お前は何でいうんだ？;Nice to meet you, Hayao Otome. How can I address you?
俺は、あああぁぁぁ．．．こっちこそよろしくな。;I am, aaahhhh... Nice to meet you too.
あっ、;こんにちは！英語に翻訳したいテキストをお教えください。
俺の名前はあああぁぁあ．．．ここ、私立きらめき高;My name is Aaaah... Here, Private Kirameki High.
俺は、ああぁあああ。こっちこそよろしくな。;I am, aaahhhh. Nice to meet you too.
あっ、来たわよ。;Oh, you're here.
素敵〜。;Lovely~
何だ？急に女子が好きだしたぞ。;What's going on? Suddenly you started liking girls.
やあ、諸君。待たせたね。;Hello, everyone. I made you all wait, didn't I?
この僕の事を知らない者は、いないと思うが．．．。僕が理事長の孫の伊集院レイだ。;I don't think there's anyone who doesn't know me, but... I'm Ijuin Rei, the chairman's grandson.
同じクラスの男性諸君には悪いが．．．。ま、仲良くやっていこうじゃないか。;I'm sorry to the male classmates in the same class... Well, let's get along, shall we?
伊集院って、あの金持ちのか．．．。嫌なクラスになっちまったなぁ。;Isshukan is that rich person... Became part of an unpleasant class.
