"Character name","Japanese text","English text"
"You","『俺の名前はあああぁああ。ここ、私立きらめき高校の新入生だ。","My name is AAA. I'm a new student here at Kirameki Private High School."
"You","『無理だと思つていた第―志望だつたが、運良く合格することができた","It was my first choice, which I thought was impossible, but luckily I was able to pass."
"You","『最高の気分だぜ。密かに想っている、藤崎詩織と同じ学校に入学できたんだから。","It feels great, because I could enroll in the same school as Shiori Fujisaki, who I secretly like."
"You","『実は⋯。彼女とは小学校からの幼なじみで、家も隣りどうしなんだけれど","Actually... She and I have been childhood friends since elementary school, and we are neighbors..."
"You","『俺と比べて、月とスッポン。だから、いまだに友達以上の関係には⋯。","However, comparing me to her is like comparing the moon to a turtle. That's why we are still just friends..."
"Yoshio","「よう。何しけた面してんだよ。","Hey. What's with that look on your face?"
"You","『あ、あぁ⋯。別に⋯。（なれなれしい奴だなぁ⋯。）","Ah, well... It's nothing, really. (He's quite friendly...)"
"Yoshio","「俺、早乙女好雄。これからよろしくな。お前は何ていうんだ？","I'm Yoshio Saotome. Nice to meet you. What's your name?"
"You","『俺は、ああああああ。こつちこそよろしくな。","I'm AAA... Nice to meet you too."
"Girl A","「あつ、来たわよ。","Hey, he's here."
"Girl B","「素敵～。","Lovely!～"
"Yoshio","「何だ？急に女子が騒ぎだしたぞ。","What's going on? Why are the girls making noise suddenly?"
"Ijuin","「やあ、諸君。待たせたね。","Hello, everyone. Sorry for the wait."
"Ijuin","「この僕の事を知らない者はいないと思うが⋯。僕が理事長の孫の伊集院レイだ。","I think there's no one here who doesn't know me... I am Reiji Ijuin, the grandson of the chairman."
"Ijuin","「同じクラスの男性諸君には悪いが⋯。ま、仲良くやつていこうじゃないか。","I apologize to the gentlemen in the same class... Well, let's get along, shall we?"
"Yoshio","「伊集院つて、あの金持ちのか⋯。嫌なクラスになつちまつたなぁ。","Ijuin, that rich guy... This class just got worse."
"You","『そ、そうだな⋯。","Yeah, it did..."
"You","（あつ、次は詩織の、自己紹介みたいだ。）","(Ah, next is Shiori's self-introduction...)"
"Fujisaki","「みなさんはじめまして。名前は藤崎詩織です。","Nice to meet you, everyone. My name is Shiori Fujisaki."
