Japanese text;English text
こうして、俺の高校生活三年間は幕を閉じた。;Thus, my three years of high school life came to an end.
思えば、クラブにばかり出ていたような気がするなぁ。;Now that I think about it, I feel like I was mostly participating in clubs.
なにはともあれ、無事卒業できて本当に良かった。;Anyway, I'm really glad that I was able to graduate safely.
とりあえず二流大学に合格もできたし、何も言うことはないな。;For now, I was able to get accepted into a second-rate university, so I have nothing to complain about.
そういえば、彩子は絵を本格的に勉強するため、パリに留学することになった。;By the way, Ayako is going to study art seriously and will be studying abroad in Paris.
そういえば、彩子は絵を本格的に勉強するため、パリに留学することになった。しばらく会えなくて寂しいが、彼女の夢のためだ、いつまでも、待っていられる。;By the way, Ayako is going to study art seriously and will be studying abroad in Paris. It's sad not to see her for a while, but it's for her dream, so I can wait forever.
フランス人は魅力的だから少し心配だけど、きっと、大丈夫だ。;French people are charming, so I'm a little worried, but I'm sure it will be okay.
この学校の伝説が永遠に語り継がれるように、俺たち二人の愛も、永遠なのだから⋯。;Just as the legends of this school will be told forever, so will our love.
なにはともあれ、無事卒業できて本当に良かつた。;Anyway, I'm really glad that I was able to graduate safely.
そういえば、彩子は絵を本格的に勉強するため、パリに留学することになつた。;By the way, Ayako is going to study art seriously and will be studying abroad in Paris.
パリに留学することになつた。しばらく会えなくて寂しいが、彼女の夢のためだ、いつまでも、待つていられる。;She's going to study abroad in Paris. It's sad not to see her for a while, but it's for her dream, so I can wait forever.
フランス人は魅力的だから少し心配だけど、きつと、大丈夫だ。;French people are charming, so I'm a little worried, but I'm sure it will be okay.
この学校の伝説が永遠に語り継がれるように、俺達二人の愛も、永遠なのだから⋯。;Just as the legends of this school will be told forever, so will our love.
しばらく会えなくて寂しいが、彼女の夢のためだ、いつまでも、待つていられる。;It's sad not to see her for a while, but it's for her dream, so I can wait forever.
幕を閉じた。;Came to an end.
気がするなぁ。;I feel like.
そういえば、彩子は絵を本格的に勉強するため、パリに留学することになつた。しばらく会えなくて寂しいが、彼女の夢のためだ、いつまでも、待つていられる。;By the way, Ayako is going to study art seriously and will be studying abroad in Paris. It's sad not to see her for a while, but it's for her dream, so I can wait forever.
思えば、本ばかり読んでいたような気がするなぁ。;Now that I think about it, I feel like I was reading books all the time.
―流企業は残念ながら不合格だつたが、俺の余分な知識を利用して、知り会いのつてでマスコミ関係の仕事につこうと思う。;Unfortunately, I didn't pass the second-rate company's exam, but I'll use my extra knowledge and connections to get a job in the media industry.
そういえば、夕子はフリーターとして、気ままに生きるらしい自由な時間が多くてちょつとうらやましいな。;By the way, Yuko seems to live freely as a part-timer, and I'm a little envious of her free time.
彼女は、明るくてかわいいけど、飽きつぽいから、ちょつと心配だ。;She's cheerful and cute, but she gets bored easily, so I'm a little worried.
だけど、いつまでも二人で歩んでいける。;But we can continue walking together forever.
―流大学は残念ながら不合格だつたが、自分の才能を伸ばすために専門学校に進むことにした。;Unfortunately, I didn't pass the second-rate university's exam, but I decided to go to a vocational school to develop my talents.
そういえば、望は実業団で水泳をすることになつた。練習で忙しそうだから会える機会も少ないかもしれない。;By the way, Nozomi will be swimming for a corporate team. She seems to be busy with practice, so there may be fewer opportunities to meet.
しかし、心配はしていない。;But I'm not worried.
最近、彼女はかなり女の子らしくなつてきてけつこう、人の目をひくから、ちょつと心配だけど。;Recently, she's become quite feminine and attracts a lot of attention, so I'm a little worried.
最近、彼女はかなり女の子らしくなつてきてけつこう、人の目をひくから、ちょつと心配だけど。いつまでも二人で歩んでいける。;Recently, she's become quite feminine and attracts a lot of attention, so I'm a little worried. But we can continue walking together forever.
いつまでも二人で歩んでいける。;But we can continue walking together forever.
俺の高校生活三年間は;My three years of high school life
思えば、;Now that I think about it,
本ばかり読んでいた;I was reading books all the time
ような気がするなぁ。;I feel like.
こうして、俺の高校生活三年間は;Thus, my three years of high school life
思えば、本ばかり読んでいた;Now that I think about it, I was reading books all the time
なにはともあれ、;Anyway,
―流大学は残念ながら不合格だつたが、;Unfortunately, I didn't pass the second-rate university's exam, but
―流大学は残念ながら不合格だつたが、自分の才能を;Unfortunately, I didn't pass the second-rate university's exam, but to develop my talents
―流大学は残念ながら不合格だつたが、自分の才能を伸ばすために;Unfortunately, I didn't pass the second-rate university's exam, but to develop my talents
―流大学は残念ながら不合格だつたが、自分の才能を伸ばすために専門学校に;Unfortunately, I didn't pass the second-rate university's exam, but to develop my talents I'm going to a vocational school
練習で忙しそうだから会える機会も少ないかもしれない。しかし、心配はしていない。;She seems to be busy with practice, so there may be fewer opportunities to meet. But I'm not worried.
することになつた。練習で忙しそうだから会える機会も少ないかもしれない。しかし、心配はしていない。;She's going to swim for a corporate team. She seems to be busy with practice, so there may be fewer opportunities to meet. But I'm not worried.
なつてきてけつこう、人の目をひくから、ちょつと心配だけど。いつまでも二人で歩んでいける。;She's become quite feminine and attracts a lot of attention, so I'm a little worried. But we can continue walking together forever.
彼女は、明るくてかわいいけど、飽きつぽいから、ちょつと心配だ。だけど、いつまでも二人で歩んでいける。;She's cheerful and cute, but she gets bored easily, so I'm a little worried. But we can continue walking together forever.
思えば、身だしなみばかり、気にしてたような気がするなぁ。;Looking back, I feel like I was always concerned about my appearance.
そういえば、魅羅はモデルの道に進むことになつた。活躍を雑誌で見ながら、勉強するとしよう。;By the way, Fascination has decided to become a model. I'll watch her activities in magazines and study up on her.
彼女は、きつと人気が出ると思うからちょつと心配だけど、いつまでも二人で歩んでいける。;I'm a little worried because I think she's going to be very popular, but we can walk together forever.
