Japanese name;English name
女子Ａ;Girl A
女子Ｂ;Girl B
伊集院;Ijuin
早乙女;Saotome
藤崎;Fujisaki
如月;Kisaragi
紐緒;Himoo
片桐;Katagiri
古式;Koshiki
清川;Kiyokawa
好雄;Yoshio
鏡;Kagami
朝日奈;Asahina
美樹原;Mikihara
虹野;Nijino
優美;Yumi
館林;Tatebayashi
女生徒;Schoolgirl
入部;Join
部長;Manager
黒服;Black Suit
美樹原;Mikihara
ￌ配達;Delivery
神様;God
謎の女;Mysterious Woman
男;Man
あああ;"""あああ"" translates to ""Aaa"" in English. It's often used to express a variety of emotions in Japanese, such as frustration, realization, or even awe, depending on the context."
