Japanese text;English text
部活―覧;Club activities - list
文芸;Literature
演劇;Theater
科学;Science
電脳;Cyber
美術;Art
吹奏楽;Brass band
野球;Baseball
サッカー;Soccer
テニス;Tennis
水泳;Swimming
バスケ;Basketball
取り消し;Cancel
電話番号;Contacts list
早乙女好雄;Yoshio Saotome
藤崎詩織;Shiori Fujisaki
伊集院レイ;Rei Ijuin
伊集院;Ijuin
早乙女;Saotome
藤崎;Fujisaki
如月;Kisaragi
紐緒;Himoo
片桐;Katagiri
古式;Koshiki
清川;Kiyokawa
好雄;Yoshio
鏡;Kagami
朝日奈;Asahina
美樹原;Mikihara
虹野;Nijino
優美;Yumi
館林;Tatebayashi
文字表示速度;Character display speed
アイコンモード;Icon mode
マウス設定;Mouse settings
メニューモード;Menu mode
カーソル速度;Cursor speed
音声モード;Audio mode
設定終了;Setting completed
近所の公園;Neighborhood park
ショッピン?;Shopping?
動物園;Zoo
街;city
図?;figure?
ゲ?;Ge?
センター;Center
?｀‐｀｀;?｀-｀
物園;Zoo
??????ト  ???‐??;??????to  ???-??
???ー;???ーー
??．;???．
?｀?．｀;?｀?． ｀
?ート???ト  次;?T???T Next
美術?;art?
．．;．． ．．
‐;-
，;，
．?;．． ?
?．;?．
? ?;? ?
?■;?■
． ｀．?;．． ｀． ?
． ?．;．． ?．
藤崎詩織     ．????????;Shiori Fujisaki. ????????
????❘;????❘
?．?．;?． ?．
?‐????;?‐????
乙???;Otsu???
‐??‐‐■;-??--■
藤崎詩織   ??．????????;Shiori Fujisaki ???． ????????
．??;．． ??
?乙???;?Otsu???
?｀????;?｀????
? ????;?????
?‐;?‐
?． ???;?． ???
?‐ ???;?‐???
，． ???;、． ???
．???;．． ???
?．??;?． ??
‐?????;-???????
?? ? ?;?? ? ?
．?????;．． ??????
??‐ ??;??‐ ??
伊集院レ?;Ijuin Re?
伊集院??;Ijuin??
伊???イ;Italy?
?集院レイ;?Shyuin Rei
藤崎詩?;Poetry Fujisaki?
早乙女??;Saotome??
早乙女好?;Good Saotome?
???．;???．
．   ｀;．． ｀
．   ．;．． ．．
???、;???,
｀． ．;｀． ．．
?   ?;? ?
?  ?;? ?
――;---
ｎ??;n??
―??;―??
??‐;??-
??＂?．;??＂?．
きらめき中?;Sparkling?
?  ???;???
?ート??ット  ??????;?t??t ??????
．??．?;．． ??． ?
?  ?｀?;? ?｀?
?‘;?‘
?ート??ット  ?;?t??t ?
公園;park
．  ??;．． ??
らめき中央公園;Rameki Central Park
きらめき中央公;Sparkling Chuoko
????、??;????, ??
｀?｀‐｀｀;｀?｀-｀
きらめき中央公園;Kirameki Central Park
ショッピング街;shopping street
次のページへ;to the next page
美術館;art museum
図書館;library
ゲームセンター;Arcade
デートスポット;date spot
美??;Beauty??
図?館;Museum
ショッピング?;shopping?
きらめき中央公?;Sparkling Chuoko?
きらめき中央??;Sparkling center??
遊園地;amusement park
前のページへ;Previous page
??１１?;??11?
‐‐ ‐．;‐‐ ‐．
‘;‘
????、;????,
??｀ ．;??｀．
??１??;??1??
?り??;?the law of nature??
?ン?ー;?n?-
? ．??;?．． ??
?ーム?ン?ー;?Moon?
． ?;．． ?
｀．;｀．
????．?;????． ?
．．?＂．;．． ．． ?＂．
―――――;------
???公?;???public?
ショッピン;Shopping
公?;public?
ショッピン??;Shopping??
???ー?へ;To ????
?ー??ン?ー;?ー??n?ー
?ートス?ット;?Top top?
?ート???ト  ???ー??;?To??To??To??
きらめき中;Sparkling
らめき中央??;Sparkle Central??
?｀‐｀?;?｀-｀?
ショッピン?街;shopping town
?ートス??ト;?toss??tot
???‐;???-
近所の公?;Neighborhood public?
きらめき?;Sparkle?
ショッピ?;Shoppi?
央公園;central park
グ街;Gu street
ム?ン?ー;Moon?
デートスポッ;date spot
?所の公園;?Park of the place
?ョッピン?;?Shoppin?
?園;? Garden
?ョッピング街;?Shopping district
?のページへ;Go to page of ?
?ートスポット;?Toot spot
????中?;????During?
?ョッ?ン?;?Chon?
?    ■;?■
???中???;???During???
――――――;――――――
????中???;????During???
?ョッ?ン??;?Chon??
?物園;?Animal garden
?書館;?Shokan
?ームセンター;?room center
??の??;??of??
????．‐―;????． ---
???????;???????
?のペー?へ;Go to page ?
?ー?ス?ッ?;?ー?Su??
マ?ス??;trout??
?ーュー?ー?;?ーーー?
アイコンモー?;Icon mo?
メニューモー?;Menu mode?
?ート???ト  前のページへ;?To the previous page
ショッ?ン?;Shop?
ショッ?ン??;Shop??
テー?ス?ッ?;Thesis?
?ニュー?ー?;?New?
．‥?;．． ‥?
―;―
Ｉ;I
??――?;??――?
｀  ｀．．   ．．｀ ．;｀ ｀． ．． ．． ．． ｀．
！???;! ???
??❘      ?ーム?ン?ー;??❘ ?Moon?ー
所の公園;Tokoro Park
ョッピング街;shopping street
??❘      ゲームセンター;??❘ Game center
｀．．   ．．｀ ．;｀． ．． ．． ．． ｀．
?ート???ト  次のペー;?T???T Next page
? ‘ ?;?‘ ?
次のペー?;Next page?
? ‘ ? ?;? ‘ ? ?
?ー?ー???;?ー?ー???
?｀??;?｀??
‐??;-??
伊??レ｀;Italy
取り?し;Collection
女の子の評価を聞く;Listen to girls' evaluations
デートスポットを聞く;Ask about date spots
??．?;???． ?
??．??????;??． ??????
俺をど;What about me?
俺をどう思つてるか;what do you think of me
??消し;??Erase
?り消し;?Eraser
俺をどう思つてる?;What do you think of me?
?? ｀;?? ｜
?? ?????;?? ?????
ちょつと?;A little bit?
ちょつと?つ?く?;?Track? a little?
ちょつと?つ?く?よ。;Let's do a little bit of work.
??．??;???． ??
??．???????;??． ???????
??．???????????;??． ????????????
教えて欲;I want to tell you
ＬＡ『いいデートスポットを;LA “Good date spot”
教えて欲しいんだ。;I want you to tell me.
??．???;???． ???
??．????????;???． ????????
教;teaching
教えて欲しい;I want you to tell me
崎;Saki
??．????;???． ????
俺を;me
俺をどう思つて;what do you think of me
?? ??;?? ??
ち;Chi
ちょつと?つ?く;Take a little hit
?? ????;?? ????
お前に;to you
お前に対する評価;evaluation of you
お前に対する評価は⋯。;What is your evaluation of me?
?? ?．;?? ?．
?? ?????．;?? ??????．
?? ????????;??????????
??．?????;???． ??????
??．?????????;???． ?????????
聞いてみ;Listen to it
聞いてみようかな;Shall I ask?
聞いてみようかな）;Maybe I should ask)
?と;?and
?と????;?and????
こと????;thing????
?? ??．;?? ???．
?? ???????;?? ?????????
ちょつと;A little bit
ちょつと?つ?く?よ;Just a little bit of strength
?? ??????;????????
?? ?????????;???????????
耳;ear
耳かつぽ;ears
耳かつぽじつて;ears and ears
??  ?;?? ?
８３．５?;83.5?
???．．;???． ．．
??１１;??11
??  ■;??■
??｀?;??｀?
?｀?????;?｀??????
いつも悪いな。;It's always bad.
?? ???????????;?? ????????????
?? ????????????;???????????????
女の子;girl
女の子の情報なら;For information about girls
?り?;?the law of nature?
｀??;｀??
??「あつたあつた。;??“It’s hot.
俺;I
俺をどう思;what do you think of me
?? ????．;?? ??????．
ちょつと?つ?;A little bit?
お;oh
お前に対す;against you
お前に対する評価は⋯;What is your evaluation...
聞;Listen
聞いてみよ;Let's listen
俺をどう思つ;what do you think of me
ちょ;Cho
ちょつと?つ;A little bit
??? ?;???
‐????????;-????????
????。?ゃ???。?;????. ????. ?
ー?に???い？?;ー? Ni???? ?
そ???。?ゃ??に。?;So???. ???to? ?
―緒に帰らない？』;-Would you like to go home with me? ”
そうだよ。じゃお先に。』;that's right. Okay, first. ”
スプーンリレー』;Spoon Relay”
借りもの競争』;Competition for borrowed goods
?フー???ー?;?Whoo??
??????Ｉ;??????I
別の競技に参加する』;Participate in another competition
二人三?』;Two or three?”
玉転がし』;Ball rolling'
???????????????）;???????????????)
乙??;Otsu??
??ー;??ー
ＬＡ『サンキュー。;"LA ""Thank you."
ＰＬＡ『サンキュー。;"PLA ""Thank you."
ートする場所を選んで下さい;Please select a location to start
デートする場所を選んで下さい;Please choose a place for your date
‘．??;‘． ??
??｀??;??｀??
?．??????;?． ??????
ＰＬＡ『???ュー?;PLA “????
誕生日;birthday
血液型;blood type
ＢＷＨ;BWH
クラブ;club
星座;sign
備考;notes
９月１１日;September 11th
乙女座;Virgo
Ｂ型;B type
８３．５６．８４;83.56.84
水泳部;swimming club
趣味は音楽鑑賞、特にクラシック;Likes music, specially classical
成績?秀、スポーツ万能;Excellent grades, good at sports
ＬＡ（今日は何をしようかな？;LA (What should I do today?
ＰＬＡ（今日は何をしようかな？）;PLA (What shall we do today?)
ＬＡ???は???????？;LA???What??????
あああ（明日から何をしようかな？）;Ahhh (What should I do tomorrow?)
メ?ュー?ード;Menu
???ー?;???ー?
マ????;Ma????
?ー????;?ー????
ステム設定を変更します;Change the stem settings
システム設定を変更します;Change system settings
???‐｀;???-｀
??‐?．;??‐?．
ル??;Ru??
‐ ‐ ．;‐ ‐ ．
??．????。;??． ????.
?ー?い?ぁ。?;? It's nice. ?
あああ（放課後だ。;Ahhh (It's after school.
あー眠いなぁ。）;Ah, I'm sleepy.)
?．   ??;?． ??
劇    野?;Theater field?
??   ．＋?;??． +?
??   ｀‐;?? '-
術    水?;Water magic?
文芸    吹?;Literature
演劇    野?;Theater field?
科学    サ?;Science?
電脳    テ?;Cyber?
美術    水?;Art Water?
ー;-
???る??????て???い;I'm a
入部する部活を選択してください;Please select the club you would like to join.
?．．;?． ．
???   ‐ ．．;???-. ．
メ?ュー?ー?;Menu?
???‐．;???‐．
??‐?;??‐?
?‐?‐?;?‐?‐?
???‐?‐?;???‐?‐?
???????????;???????????
????????????;????????????
，．;,.
ステム????????;Stem ????????
????．;????．
ー?ード;Game
?????は???????？;?????teeth????????
あああ（今日は何をしようかな？）;Ahhh (What should I do today?)
??❘?つ、????。;??❘?one, ????.
良くかけて来てくれたな。;I'm glad you came.
??「おつ、あああか。;??“Thanks, aaaah.
好雄 ?????;Yoshio ?????
何について聞きたいんだ？;What do you want to know about?
??「もちろん。;"??""of course."
???????聞く;???????listen
?ート???トを聞く;Listen to the music
女の子の評価???;Girls rating???
デートスポッ．??、;Date spot. ??,
３月２２日;March 22nd
牡羊座;Aries
Ａ型;Type A
電脳部;Cyber ​​Club
‐?．;-?．
? ｀;? ｀
?? ?????????。;???????????.
?ーつ、???????。;?-, ???????.
ＰＬＡ『絵は、心が休まるぜ。;"PLA: ""Painting is soothing to the soul."
?ーつ、???る?リフ。;A catchy riff.
??！??、??????。;??! ??, ??????.
?ーつ、??????フ。;?,??????fu.
くーつ、しびれるセリフ。;Shoo, what a thrilling line.
ＬＡ『俺の名前はＰＬＡＹＥＲ。;LA: My name is PLAYER.
ここ、私立きらめき高校の;Here at Kirameki Private High School,
ＰＬＡ『俺の名前はＰＬＡＹＥＲ。;PLA: My name is PLAYER.
新入生だ。;He's a new student.
??「俺、早乙女好雄。;??“I’m Saotome Yoshio.
これからよろしくな。;I look forward to working with you.
お前は何;What are you?
ＬＡ 密かに想つている;LA I secretly love
藤崎詩織と同じ学校に;At the same school as Shiori Fujisaki
ＰＬＡ 密かに想つている、;PLA secretly thinks,
入学できたんだ;I was able to enter the school.
ＬＡ『俺と比べて、月とスッポン。;LA: Compared to me, it's like the moon and a turtle.
だから、いまだに友達以上の;So, we are still more than just friends.
ＰＬＡ『俺と比べて、月とスッポン。;PLA: Compared to me, you're like the moon and a turtle.
関係には⋯。;In terms of relationships...
??「よう。;??“Hello.
ＬＡ『あ、あぁ⋯。;LA: Ah, uh...
別に⋯。;It's nothing...
ＰＬＡ『あ、あぁ⋯。;PLA: Ah, ah...
なれなれしい奴だなぁ⋯。;He's really familiar with me...
ＬＡ（明日から何をしようかな？;LA: What should I do from tomorrow?
ＰＬＡ（明日から何をしようかな？）;PLA (What should I do tomorrow?)
??―?;??―?
?｀??．;?｀??．
二人三脚』;"""Three Legged Race"""
?｀‐;?'-
?????―?;??????―?
??????―?;??????―?
???―?―??;???―?―??
???｀  ?;???｀ ?
???．  ?;???． ?
藤崎詩織   ?;Shiori Fujisaki?
?―??????;?―??????
?????――?;??????――?
???，  ?;???, ?
?．?｀   ?;?． ?｀ ?
‐．．‐?;-. ． -?
．????■;． ????■
ＬＡ（今回の試験は終了した。;LA (This test has ended.
ＰＬＡ（今回の試験は終了した。）;PLA (This test has been completed.)
?   ??．?;? ??． ?
??? ??．;??? ??．
???．??;???． ??
??  ??．?;?? ??． ?
???．??  ‐?????;???． ??‐?????
??? ??．???????;??? ??． ???????
．．．   ?;． ． ． ?
詩織と乗るぜ。』;I'm going to ride with Shiori.
如月さんと乗るぜ。』;I'll ride with Kisaragi-san.
詩織と入るぜ。』;I'm going in with Shiori.
如月さんと入るぜ。』;I'm going in with Kisaragi-san.
?月??;?Month??
如月未緒;Mio Kisaragi
２月 ３日;February 3rd
水瓶座;Aquarius
８０．５９．８２;80.59.82
文芸部;Literature Club
身体が弱いことを、気?している;I am concerned about my physical condition.
ゲーテの詩集がお気に入り;My favorite poems are by Goethe
身体が弱いことを、気にしている;I am concerned about my physical weakness
２?;2?
身???????、??;Body ???????, ??
ゲ‐?????????;Ge-?????????
プレゼントをする。』;Give a present.
プレゼントをしない。』;I don't give presents.
クラブ活動をする;Do club activities
クラブをやめる;Quitting the club
??．??????????。;??． ??????????.
いつ?て?でけぇ?ぁ。;When? Is it big?
ＰＬＡ『伊集院の家に着いたぞ。;PLA: We've arrived at Ijuin's house.
いつ見てもでけぇなぁ。;It's huge no matter how many times you look at it.
よし、女の子と初詣に行くか。』;Okay, let's go to the shrine with the girls.
