Japanese text;English text
部活―覧;Lista de clubes
文芸;Literatura  
演劇;Teatro  
科学;Ciencia  
電脳;Computación  
美術;Arte  
吹奏楽;Banda de música  
野球;Béisbol  
サッカー;Fútbol  
テニス;Tenis  
水泳;Natación  
バスケ;Baloncesto  
取り消し;Cancelar  
電話番号;Número de teléfono  
伊集院;Ijuin  
早乙女;Saotome  
藤崎;Fujisaki  
如月;Kisaragi  
紐緒;Himoo  
片桐;Katagiri  
古式;Koshiki  
清川;Kiyokawa  
好雄;Yoshio  
鏡;Kagami  
朝日奈;Asahina  
美樹原;Mikihara  
虹野;Nishino  
優美;Yumi  
館林;Tatebayashi  
伊集院レイ;Rei Ijuin  
早乙女好雄;Yoshio Saotome  
早乙女優美;Yumi Saotome  
虹野沙希;Saki Nishino  
藤崎詩織;Shiori Fujisaki  
如月未緒;Mio Kisaragi  
紐緒結奈;Yuna Himoo  
片桐彩子;Ayako Katagiri  
古式ゆかり;Yukari Koshiki  
清川望;Nozomi Kiyokawa  
鏡魅羅;Mira Kagami  
朝日奈夕子;Yuko Asahina  
美樹原愛;Ai Mikihara  
館林見晴;Miharu Tatebayashi  
文字表示速度;Velocidad de visualización de texto  
アイコンモード;Modo icono  
マウス設定;Configuración del ratón  
メニューモード;Modo de menú  
カーソル速度;Velocidad del cursor  
音声モード;Modo de voz  
設定終了;Finalizar configuración
近所の公園;Parque local  
あなたの名字を教えてくれる？;¿Me puedes decir tu apellido?  
名前;Nombre  
あだ名;Apodo  
名前は？;¿Cuál es tu nombre?  
それじゃ、あだ名は？;Entonces, ¿cuál es tu apodo?  
誕生日と血液型も教えてね？;¿También me puedes decir tu cumpleaños y tu tipo de sangre?  
誕;Cumpleaños  
血;Sangre  
誕生日;Fecha de nacimiento  
誕生月;Mes de nacimiento  
血液型;Tipo de sangre  
これでいい？;¿Está bien así?  
はい;Sí  
藤崎詩織の誕生日と血液型は覚えてる？;¿Recuerdas el cumpleaños y tipo de sangre de Shiori Fujisaki?  
詩織;Shiori  
いいえ;No  
プロローグ;Prólogo  
遅い;Lento  
普通;Normal  
速い;Rápido  
文字速度;Velocidad de texto  
システム設定画面;Pantalla de configuración del sistema  
廊下;Pasillo  
デートスポット;Lugar de citas  
次のページへ;A la siguiente página  
きらめき中央公園;Parque Central Kirameki  
ショッピング街;Zona comercial  
植物園;Jardín botánico  
美術館;Museo de arte  
図書館;Biblioteca  
ゲームセンター;Centro de juegos  
プラネタリウム;Planetario  
は;es  
‐れでいい？;¿Está bien así?  
カレンダー;Calendario  
女の子の評価を聞く;Escuchar la evaluación de las chicas  
女の子からの評価;Evaluación de las chicas  
星座;Constelación  
ＢＷＨ;BWH (Busto, Cintura, Cadera)  
クラブ;Club  
備考;Notas  
６月 １日;1 de junio  
Ａ型;Tipo A  
８３．５６．８４;83-56-84  
水泳部;Club de natación  
趣味は音楽鑑賞、特にクラシック;El pasatiempo es escuchar música, especialmente clásica  
成績優秀、スポーツ万能;Excelente en estudios y deportes  
図書室;Sala de lectura  
校門前;Frente a la puerta de la escuela  
―緒に帰らない？』;¿No volvemos juntos?』
そうだよ。じゃお先に。』;Así es. Entonces, me adelanto.』
中庭;Patio
プレゼントをする。』;Hacer un regalo.』
プレゼントをしない。』;No hacer un regalo.』
ピアス』;Pendientes』
ハンカチ』;Pañuelo』
クラシックのＣＤ』;CD de música clásica』
スプーンリレー』;Carrera de relevos con cuchara』
借りもの競争』;Carrera de búsqueda de objetos prestados』
別の競技に参加する』;Participar en otra competencia』
クラブ活動をする;Participar en actividades del club
クラブをやめる;Dejar el club
情報誌;Revista de información
８月６日に神社で縁日があります;El 6 de agosto hay un festival en el santuario
９月３０日;30 de septiembre
Ｂ型;Tipo B
８６．６０．８６;86.60.86
吹奏楽部;Banda de música
趣味は絵を描くこと;El pasatiempo es dibujar
明るく友達が多い、運動は駄目;Es sociable y tiene muchos amigos, pero no es bueno en deportes
２月１４日;14 de febrero
Ｏ型;Tipo O
文芸部;Club de literatura
美術部;Club de arte
動物園;Zoológico
洋服でも見に行こうよ。』;¿Vamos a ver ropa?』
小物でも見に行こうよ。』;¿Vamos a ver accesorios?』
ジャンク屋に行こうよ。』;¿Vamos a la tienda de segunda mano?』
ブティック;Boutique
全然、ゆつくり見てていいよ。』;En serio, puedes mirar con calma.』
もうちょつとね。』;Un poquito más.』
待つてることも、考えてくれよ。』;Considera también que estoy esperando.』
美術室;Sala de arte
期末試験結果発表;Anuncio de resultados de los exámenes finales
ＰＬＡＹＥＲ;JUGADOR
園内;Dentro del parque
全然。俺の方が絵になるな。』;Para nada. Yo salgo mejor en las fotos.』
特に自然の中だとね。』;Especialmente en la naturaleza, ¿verdad?』
そう思うよ。』;Eso creo.』
合宿所;Dormitorio del campamento
ラッキー！のぞいちゃえ！';¡Qué suerte! ¡Echemos un vistazo! '
いや、やめとこう。';No, mejor no. '
左の窓からのぞく。';Asomarse por la ventana de la izquierda. '
真ん中の窓からのぞく。';Asomarse por la ventana del centro. '
右の窓からのぞく。';Asomarse por la ventana de la derecha. '
遊園地;Parque de atracciones
観覧車;Noria
詩織と乗るぜ。';Voy a montar con Shiori. '
片桐さんと乗るぜ。';Voy a montar con Katagiri-san. '
ジェットコースター;Montaña rusa  
ゴーストハウス;Casa embrujada  
詩織と入るぜ。';Voy a entrar con Shiori.
片桐さんと入るぜ。';Voy a entrar con Katagiri-san.
さりげなく趣味とかを聞き出す。';Sacar casualmente su pasatiempo o algo similar.
それとなく好きな場所を探る。';Averiguar discretamente su lugar favorito.
２月 ３日;3 de Febrero  
８０．５９．８２;80.59.82  
身体が弱いことを、気にしている;Se preocupa por su salud débil  
ゲーテの詩集がお気に入り;Su libro favorito es la colección de poemas de Goethe  
前のページへ;A la página anterior  
映画館;Cine  
コンサート会場;Sala de conciertos  
プール;Piscina  
海;Mar  
神社;Santuario  
縁日;Festival  
浴衣を誉める。';Elogiar el yukata.
浴衣を誉めない。';No elogiar el yukata.
音楽室;Sala de música  
自宅;Hogar  
８月２３日;23 de Agosto  
ＡＢ型;Tipo de sangre AB  
言迷．言迷．言迷;Dudar, dudar, dudar  
私設部;Departamento privado  
嫌い嫌い嫌い嫌い嫌い嫌い嫌い;Odio, odio, odio, odio, odio, odio, odio  
有名画家展;Exposición de un pintor famoso  
俺もファンなんだよ。';Yo también soy fan.
こんな絵がいいの？';¿Te gusta esta pintura?
上手だよね。';Es excelente, ¿no?
会場内;Dentro del recinto  
コンサート、つまらなかつたね？';El concierto, ¿no fue aburrido?
コンサート、良かつたね？';El concierto, ¿estuvo bien?
コンサート、まあまあだつたね？';El concierto, ¿estuvo más o menos bien?
ベレー帽』;Boina  
孫の手』;Rascador de espalda  
すごく妖しげな本』;Libro muy misterioso  
ファンシーショップ;Tienda de fantasía  
でも、あれもいいんじゃない？』;Pero, ¿no está bien también eso?
全然、思わない。』;En absoluto, no lo creo.
うん、片桐さんによく似合うよ。』;Sí, le queda perfecto a Katagiri-san.
舞台裏;Detrás del escenario  
館内;Dentro del edificio  
今の映画、まあまあだつたね？';La película de ahora, ¿estuvo más o menos bien?
今の映画、つまらなかつたね？';La película de ahora, ¿no fue aburrida?
今の映画、面白かつたね？';La película de ahora, ¿no fue interesante?
並木道;Camino con árboles  
本当、気持ちいいね。';Realmente, se siente bien.
恋愛小説の―場面みたいだね。';Es como una escena de una novela romántica.
散歩は、お腹がすいてこない？';¿No te da hambre caminar?
伊集院邸;Residencia Ijuin  
パーティー会場;Lugar de la fiesta  
スケート場;Pista de patinaje  
スキー場;Estación de esquí  
正月;Año Nuevo  
よし、女の子と初詣に行くか。';Bien, ¿vamos al santuario de Año Nuevo con las chicas?  
よし、―人で初詣に行くか。';Bien, ¿voy al santuario de Año Nuevo solo?  
初詣;Primera visita al santuario del año  
学業成就』;Éxito académico  
健康祈願』;Oración por la salud  
恋愛成就』;Éxito en el amor  
水族館;Acuario  
ゲーテの詩集』;Colección de poesías de Goethe  
受験参考書』;Libro de referencia para exámenes  
スッポンの生き血』;Sangre viva de tortuga  
遊園地内;Dentro del parque de atracciones  
ジェットコースターに乗ろう。';Vamos a subir a la montaña rusa.  
観覧車に乗ろうよ。';Vamos a subir a la noria.  
ゴーストハウスに行こう。';Vamos a la casa encantada.  
俺がいるから大丈夫だつただろ。';Te dije que estaría bien porque estoy aquí, ¿verdad?  
意外と臆病なんだね。';Eres más cobarde de lo que pensaba.  
あれで？おかしいんじゃない？';¿Con eso? ¿No es raro?  
９月１１日;11 de septiembre  
教室;Aula  
自宅前;Frente a casa  
イルカショー;Espectáculo de delfines  
イルカつて頭良いねぇ。';Los delfines son muy inteligentes, ¿no?  
