Japanese text;English text
部活―覧;Club activities - list
文芸;Literature
演劇;Theater
科学;Science
電脳;Cyber
美術;Art
吹奏楽;Brass band
野球;Baseball
サッカー;Soccer
テニス;Tennis
水泳;Swimming
バスケ;Basketball
取り消し;Cancel
電話番号;Contacts list
伊集院;Ijuin
早乙女;Saotome
藤崎;Fujisaki
如月;Kisaragi
紐緒;Himoo
片桐;Katagiri
古式;Koshiki
清川;Kiyokawa
好雄;Yoshio
鏡;Kagami
朝日奈;Asahina
美樹原;Mikihara
虹野;Nijino
優美;Yumi
館林;Tatebayashi
伊集院レイ;Rei Ijuin
早乙女好雄;Yoshio Saotome
早乙女優美;Yumi Saotome
虹野沙希;Saki Nijino
藤崎詩織;Shiori Fujisaki
如月未緒;Mio Kisaragi
紐緒結奈;Yuina Himoo
片桐彩子;Ayako Katagiri
古式ゆかり;Yukari Koshiki
清川望;Nozomi Kiyokawa
鏡魅羅;Mira Kagami
朝日奈夕子;Yuko Asahina
美樹原愛;Megumi Mikihara
虹野沙希;Saki Nijino
館林見晴;Miharu Tatebayashi
文字表示速度;Character display speed
アイコンモード;Icon mode
マウス設定;Mouse settings
メニューモード;Menu mode
カーソル速度;Cursor speed
音声モード;Audio mode
設定終了;Setting completed
近所の公園;Neighborhood park
あなたの名字を教えてくれる？;Can you tell me your last name?
名前;Name
あだ名;Nickname
名前は？;Name.
それじゃ、あだ名は？;What's your nickname then?
誕生日と血液型も教えてね？;And tell me your birthday and blood type, okay?
誕;nativity
血;blood
誕生日;Birthday
誕生月;Birth month
血液型;Blood type
これでいい？;Is this okay?
はい;Yes.
いい?;No.
藤崎詩織の誕生日と血液型は覚えてる？;Do you remember Shiori Fujisaki's birthday and blood type?
詩織;Shiori
いいえ;No.
プロローグ;Introduction
?????;?????
メニューモー?;Menu Mode
アイコンモー?;Icon Mode
遅い;Slow
普通;Normal
速い;Fast
????速度;???? Velocity
文字速度;character velocity
??????;??????
システム設定画面;System Settings Screen
?;?
?? ?? ??;?? ?? ????
廊下;corridor
??;?
紐緒結奈;thread knot (end of the thread tied up to a cord)
?野沙希;? Saki No
早乙女好?;Saotome good?
早乙女優?;Yu Saotome?
?乙女優美;? Yumi Otome
デートスポット;date spot
次のページへ;Next Page
きらめき中央公園;Kirameki Central Park
ショッピング街;shopping district
植物園;botanical garden
美術館;art museum
図書館;library
ゲームセンター;game arcade
プラネタリウム;planetarium
?物園;? ornamental garden (esp. in contrast to a garden used as a resting place for wild animals)
????リ??;???? L?
?ームセンター;? Room Center
血液?;Blood?
は;school (e.g. of ikebana)
は?;is?
‐れでいい？;-Is that okay?
??でいい？;? is okay?
????????;????????
カレンダー;Calendar
?レン?ー;? Ren? len?
女の子の評価を聞く;Listen to the girl's assessment.
デートスポットを聞く;Ask for a date spot.
取り消?;Cancel?
?り消し;? putting out (e.g. an extinguisher)
????;????
女の子からの評価;Evaluation from girls
星座;Sign
ＢＷＨ;BWH
クラブ;Club
備考;Notes
６月 １日;June 1
双子座;Gemini
Ａ型;A
８３．５６．８４;83.56.84
水泳部;swimming club
趣味は音楽鑑賞、??クラシック;Listening to music, especially classical
成績優秀、スポー?万能;Excellent grades, good sportsmanship, good work ethic.
趣味は音楽鑑賞、特にクラシック;Listening to music, especially classical
成績優秀、スポーツ万能;Excellent grades, good sportsmanship
図書室;library room
???;?????
校門前;in front of school gate
―緒に帰らない？』;"-Won't you come home with me?"""
そうだよ。じゃお先に。』;Yes, that's right. After you.
中庭;courtyard
プレゼントをする。』;"I'll give you a present."""
プレゼントをしない。』;"I don't give gifts."""
ピアス』;"Earrings"""
ハンカチ』;"Handkerchief"""
クラシックのＣＤ』;"Classical CDs"""
スプーンリレー』;"Spoon Relay"""
借りもの競争』;"The Scavenger Hunt."""
別の競技に参加する』;"Participating in Another Competition"""
美術?;Art?
クラブ活動をする;Club activities.
クラブをやめる;quit one's club
おいらやつてるよ;I am (I am)
盛田 智佐;Chisa Morita
８月に遊園地でナイトパレード開催;Night parade at amusement park in August
８月６日に?社で縁日があります;On August 6, there will be a fair at ? There will be a fair at the shrine.
情報誌;information magazine
８月６日に神社で縁日があります;There will be a fair at the shrine on August 6.
取り??;Take?
如月未緒;Kisaragi
?桐;Katagiri
片?;one side?
９月３０日;September 30
天秤座;Libra
Ｂ型;B
８６．６０．８６;86.60.86
吹奏楽部;brass band
趣味は絵を描くこと;Hobby is painting.
明るく友達が多い、運動は駄?;Bright, lots of friends, no exercise?
明るく友達が多い、運動は駄目;Bright, lots of friends, no exercise.
?．;The following is a list of the most common types of products that can be used in the market.
?定終了;? end of fixed term
?? ?;?? ?
取??し;The taker of the trophy? death (of a nobleman, etc.)
２月１４日;February 14
水瓶座;the Water Carrier
Ｏ型;type O (blood, etc.)
文芸部;literary club (e.g. at school)
趣味は音楽鑑賞 ?にクラシック;My hobby is listening to music ? to classical music
美術部;art club
明るく友達が多? 運動は駄目;Bright and has many friends? No exercise
動物園;zoo
?書館;? library
?ョ?????;? ョ?????
洋服でも見に行こうよ。』;"Let's go look at some clothes."""
小物でも見に行こうよ。』;"Let's go look at some small stuff."""
ジャンク屋に行こうよ。』;"Let's go to the junk shop."""
ブティック;shop selling fashion clothes, accessories, etc.
?ティッ?;? T?
全然、ゆつくり見てていいよ。』;"You can watch me make a living."""
もうちょつとね。』;Just a little more.
待つてることも、考えてくれよ。』;"And don't forget to think about the wait."""
???????;???????
美術室;art studio
期末試験結果発表;Announcement of final exam results
ＰＬＡＹＥＲ;PLAYER
園内;inside the garden (park)
全然。俺の方が絵になるな。』;"Not at all. I'm more picturesque."""
特に自然の中だとね。』;"Especially in nature."""
そう思うよ。』;"I think so."""
合宿所;boarding house
ラッキー！のぞいちゃえ！』;Lucky! Take a peek!
いや、やめとこう。』;"No, let's not."""
左の窓からのぞく。』;Looking through the window on the left.
真ん中の窓からのぞく。』;"A peek through the middle window."""
右の窓からのぞく。』;"Looking through the window on the right."""
??彩子;? azure-winged magpie (Cyanopica cyana)
遊園地;amusement park
観覧車;Ferris wheel
詩織と乗るぜ。』;"I'll ride with Shiori."""
片桐さんと乗るぜ。』;"I'll ride with Katagiri-san."""
ジェットコースター;roller coaster
?ェッ?コー??ー;? ? Co? Co?
ゴーストハウス;ghost house
詩織と入るぜ。』;"I'm going in with Shiori."""
片桐さんと入るぜ。』;"I'm going in with Katagiri-san."""
さりげなく趣味とかを聞き出す。』;"I casually ask them about their hobbies and interests."""
それとなく好きな場所を探る。』;"I'll explore that and other favorite places."""
????‐;???? -
２月 ３日;Feb. 3
８０．５９．８２;80.59.82
身体が弱いことを、気にしている;Weakness of the body is a concern.
ゲーテの詩集がお気に入り;Goethe's poetry books are my favorite.
館林見晴;Miharu Tatebayashi
前のページへ;Previous Page
映画館;cinema
コンサート会場;concert hall
プール;(swimming) pool
海;sea
神社;Shinto shrine
縁日;fair
浴衣を誉める。』;"Honor the yukata."""
浴衣を誉めない。』;"I don't admire yukatas."""
?????????;?????????
音楽室;music room
フォレスとガンプ;Forres and Gump.
茶毛＆明日;brown hair & tomorrow
美術館で、有名画家展開催;Museum to hold exhibition of famous painters
自宅;one's home
８月２３日;August 23.
ＡＢ型;AB
言迷．言迷．言迷;Lost in words. Lost in words. Lost in words...
私設部;private club
嫌い嫌い嫌い嫌い嫌い嫌い嫌い;hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate
有名画家展;Exhibition of famous painters
俺もファンなんだよ。』;"I'm a fan, too."""
こんな絵がいいの？』;"Do you want a picture like this?"""
上手だよね。』;"You're good at it."""
会場内;inside a meeting place
コンサート、つまらなかつたね？』;Wasn't the concert boring?
コンサート、良かつたね？』;"Wasn't the concert great?"""
コンサート、まあまあだつたね？』;"The concert was okay, wasn't it?"""
ベレー帽』;"Beret"""
孫の手』;The Grandson's Hand
すごく妖しげな本』;A very bewitching book.
ファンシーショップ;fancy store
????‐????;???? -????
でも、あれもいいんじゃない？』;"But isn't that one good, too?"""
全然、思わない。』;"I don't think so at all."""
うん、片桐さんによく似合うよ。』;"Yes, it suits Katagiri-san well."""
舞台裏;backstage
館内;in the building
今の映画、まあまあだつたね？』;"That movie was okay, wasn't it?"""
今の映画、つまらなかつたね？』;Wasn't that a boring movie?
今の映画、面白かつたね？』;Wasn't that a fun movie?
並木道;tree-lined street
本当、気持ちいいね。』;"It really feels good."""
恋愛小説の―場面みたいだね。』;"It's like a scene from a romance novel."""
散歩は、お腹がすいてこない？』;"Doesn't the walk make you hungry?"""
伊集院邸;Ijuin Residence
パーティー会場;Party venue
?ー?ィー??;? ? ?
スケート場;skate rink
スキー場;ski area
正月;New Year
よし、女の子と初詣に行くか。』;"Okay, let's go to Hatsumode with the girls."""
よし、―人で初詣に行くか。』;"All right, let's go to Hatsumode together."""
初詣;first shrine visit of New Year
学業成就』;'Academic Achievement'
健康祈願』;Health Prayer
恋愛成就』;"Love Fulfilled"""
サマソー;samasoa (Brazilian liquor similar to vodka)
ＷＩＺＡＲＤ;WIZARD
動物園にコアラがやつて来る;A koala comes to the zoo.
水族館;aquarium
ゲーテの詩集』;"Goethe's Poems"""
受験参考書』;"Examination Reference Book"""
スッポンの生き血』;The Living Blood of the Spoons.
遊園地内;In the amusement park
ジェットコースターに乗ろう。』;"Let's go on a roller coaster ride."""
観覧車に乗ろうよ。』;"Let's ride the Ferris wheel."""
ゴーストハウスに行こう。』;"Let's go to the Ghost House."""
?‐?????;? -?????
俺がいるから大丈夫だつただろ。』;I'm here, and you're okay.
意外と臆病なんだね。』;"You are surprisingly timid."""
あれで？おかしいんじゃない？』;"What's wrong with that? Isn't that crazy?"""
?月??;? Month ?
片??子;The one-sided? one of a pair (e.g. of folding screens)
９月１１日;September 11
教室;classroom
自宅前;in front of one's home
フンガー;hunger
甲玉 リコ;Koutama Riko
中央公園で桜が満開;Cherry blossoms in full bloom at Central Park
水族館で??カのショー開催;Aquarium to hold a show of turtles Turtle Show Held at Aquarium
水族館でイルカのショー開催;Dolphin show held at aquarium
イルカショー;dolphin show
????ョ?;???? j?
イルカつて頭良いねぇ。』;Dolphins are so smart.
イルカつてほ乳類なんだよ。』;Dolphins are mammals.
イルカの歯つて怖くない？』;"Aren't dolphins afraid of teeth?"""
?族館でイルカのショー開催;? Dolphin Show Held at the Museum of Ethnology
???????????;???????????
?  ?;?  ?
玄関;vestibule
スタジアム;stadium
学校前;before school
桜並木;row of cherry trees
だからこそ、美しいんだよ。』;"That's why it's beautiful."""
それが自然の法則だからね。』;"That's the law of nature."""
道路が汚くなるんだよね。』;"It makes the roads dirty."""
よし、―緒に帰ろう。』;"Okay, let's go home."""
恥ずかしいから、いいよ。』;"It's embarrassing, okay?"""
スタジアム内;Inside the Stadium
実際にプレイするほうがいいな。』;"I'd rather actually play."""
野球嫌いだから。』;"I hate baseball."""
見てるほうがいいかな。』;"I'd rather watch."""
カンパンマン;bread pan man
ＸｅＸｅＸ;XeXeX
８月４日に?社で縁日があります;On August 4, there will be a fair at ? There will be a fair at the shrine.
プールにウ?ータースライダー完成;Wooter Slider completed in the pool. Water slider completed in the pool.
８月４日に神社で縁日があります;There will be a fair at the shrine on August 4.
プールにウォータースライダー完成;Completed a water slide in the swimming pool
??「?;? ?
この絵、片桐さんに似てない。』;"This picture doesn't look like Katagiri-san."""
この絵、奇麗だと思わない？』;"Don't you think this picture is beautiful?"""
あの人、奇麗だな⋯。』;"She's beautiful..."""
空いてるけど、何？』;"It's empty, but what?"""
残念ながら、俺様は忙しいのだ。』;"Unfortunately, I'm a busy man."""
いいよ。―緒に行こう。』;It's okay. -Let's go together.
いや、遠慮しておくよ。』;No, thanks.
二人三脚』;"The Three-legged Tripod"""
玉転がし』;Ball Rolling
すごくおいしそうだね。』;"It looks so good."""
そう、全然。』;Yes, totally.
水の中のアートだね。』;"It's art in the water."""
??．;?
５月１６日;May 16
７９．５９．８２;79.59.82
バスケ部;basketball club
アニメと、プロレスが好み;I prefer anime and wrestling.
花を見てると、心が和むね。』;"Seeing flowers makes me feel at home."""
食べれるのかな。』;"I wonder if I can eat it."""
どこにあるの？』;"Where is it?"""
??「???;? ?????
図書館内;in the library
あーつ！みんな勉強してる！』;Aatsu! Everyone is studying!
本当だ、静かだね。』;It's really quiet.
俺達も静かに勉強しよう。』;"Let's study quietly, too."""
コン?ート??;Con? Con?
如月さんと乗るぜ。』;I'll ride with Kisaragi.
コー?????;Co ?????
如月さんと入るぜ。』;I'm going in with Kisaragi-san.
誰にでも描けるんじゃない？』;"Can't anyone else draw it?"""
片桐さん才能あるよ。』;Katagiri-san has talent.
頑張れば何とかなるよ。』;"If you work hard, you'll figure it out."""
京都．奈良』;Kyoto. Nara
沖縄』;"Okinawa"""
北海道』;Hokkaido
修学旅行;school trip
京都．奈良;Kyoto, Japan Nara
??．??;???????????????????????????????????????????????????????
ホテル．ロビー;Hotel. Lobby
???．ロ?ー;Ro? L?
うん、―緒に行こう。』;Let's go.
いや、やめておくよ。』;No, I'm not going to do it.
社寺巡り;shrine and temple tour
恋愛小説』;"A Love Story."""
サンダル』;"Sandals"""
ヘアーバンド』;"Hair bands"""
???．??‐;???????????????????????????????????????????????? -?
???．???;????????????????????????????????????????????????????????
土産屋;souvenir store
―緒に逃げよう。』;"-Let's run away together."""
ここは任せて、早く逃げて。』;"I'll take care of this and get the hell out of here."""
睡拳．痛;Sleeping fist . Ouch.
ＫＮＭ交響楽団;KNM Symphony Orchestra
