Character name;Japanese text;English text
<PNAME>;（今日は、伊集院さんとデートだ）;Hoy tengo una cita con Ijuin-san.
<PNAME>;（今日は、伊集院さんとデートだ）;Hoy tengo una cita con Ijuin-san.
<PNAME>;『伊集院さんのことについて知りたいんだけど。;Quiero saber más sobre Ijuin-san.
<PNAME>;『よし、次は、伊集院とだ。;Bien, el siguiente es con Ijuin.
<PNAME>;『しばらく伊集院さんと話し込んだ。;Conversé con Ijuin-san por un rato.
<PNAME>;『伊集院さんもいたのか。;¿Ijuin-san también estaba aquí?
<PNAME>;『あつ、今日は、伊集院さんの誕生日じゃないか。;Ah, hoy es el cumpleaños de Ijuin-san, ¿no?
<PNAME>;（もしかして、伊集院さんを知らず知らずのうちに傷つけてたのかな⋯。）;Tal vez herí a Ijuin-san sin darme cuenta...
<PNAME>;『今日の自由行動は、この前の約束通り伊集院さんと―緒だ。;La actividad libre de hoy es con Ijuin-san como prometí antes.
<PNAME>;『まだ伊集院さんは、来ていないようだな。;Parece que Ijuin-san aún no ha llegado.
<PNAME>;（伊集院さんにプレゼントをもらえるなんて、おれは幸せ者だー！）;¡Recibir un regalo de Ijuin-san, soy muy afortunado!
<PNAME>;（神様、何とぞ伊集院さんと今以上に仲良くなれますように。）;Dios, espero poder acercarme más a Ijuin-san.
<PNAME>;（おつ、丁度いいところに伊集院さんが来たぞ。）;Oh, llegó Ijuin-san en el momento justo.
<PNAME>;（あつ、伊集院さん。）;Ah, Ijuin-san.
<PNAME>;『よし、次は、伊集院さんとだ。;Bien, el siguiente es con Ijuin-san.
<PNAME>;『よし、次は、伊集院さんとだ。;Bien, el siguiente es con Ijuin-san.
<PNAME>;（伊集院さんを、傷つけたといううわさが、流れてたそうだ。）;Parece que hay un rumor de que herí a Ijuin-san.
<PNAME>;（どうやら好雄の話では、俺が伊集院さんを、傷つけたといううわさが、流れてたそうだ。）;Según lo que dice Tomoyoshi, hay un rumor de que herí a Ijuin-san.
<PNAME>;（それじゃ、近所の公園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el parque del barrio.
<PNAME>;（それじゃ、近所の公園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el parque del barrio.
<PNAME>;（それじゃ、きらめき中央公園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el Parque Central Kirameki.
<PNAME>;（それじゃ、きらめき中央公園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el Parque Central Kirameki.
<PNAME>;（それじゃ、ショッピング街で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el centro comercial.
<PNAME>;（それじゃ、ショッピング街で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el centro comercial.
<PNAME>;（それじゃ、水族館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el acuario.
<PNAME>;（それじゃ、水族館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el acuario.
<PNAME>;（それじゃ、動物園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el zoológico.
<PNAME>;（それじゃ、動物園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el zoológico.
<PNAME>;（それじゃ、植物園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el jardín botánico.
<PNAME>;（それじゃ、植物園で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el jardín botánico.
<PNAME>;（それじゃ、プラネタリウムで、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el planetario.
<PNAME>;（それじゃ、プラネタリウムで、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el planetario.
<PNAME>;（それじゃ、美術館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el museo de arte.
<PNAME>;（それじゃ、美術館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el museo de arte.
<PNAME>;（それじゃ、図書館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en la biblioteca.
<PNAME>;（それじゃ、図書館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en la biblioteca.
<PNAME>;（それじゃ、ゲームセンターで、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el centro de videojuegos.
<PNAME>;（それじゃ、ゲームセンターで、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el centro de videojuegos.
<PNAME>;（それじゃ、ボーリング場で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en la bolera.
<PNAME>;（それじゃ、ボーリング場で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en la bolera.
<PNAME>;（それじゃ、カラオケ屋で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el karaoke.
<PNAME>;（それじゃ、カラオケ屋で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el karaoke.
<PNAME>;（それじゃ、遊園地で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el parque de atracciones.
<PNAME>;（それじゃ、遊園地で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el parque de atracciones.
<PNAME>;（それじゃ、スタジアムで、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el estadio.
<PNAME>;（それじゃ、スタジアムで、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el estadio.
<PNAME>;（それじゃ、映画館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el cine.
<PNAME>;（それじゃ、映画館で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el cine.
<PNAME>;（それじゃ、コンサート会場で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el lugar del concierto.
<PNAME>;（それじゃ、コンサート会場で、伊集院さんを待つか。）;Entonces, esperaré a Ijuin-san en el lugar del concierto.
<PNAME>;（それじゃ、プールで、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en la piscina.
<PNAME>;（それじゃ、プールで、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en la piscina.
<PNAME>;（それじゃ、スケート場で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en la pista de patinaje.
<PNAME>;（それじゃ、スケート場で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en la pista de patinaje.
<PNAME>;（それじゃ、海で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en el mar.
<PNAME>;（それじゃ、海で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en el mar.
<PNAME>;（それじゃ、スキー場で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en la estación de esquí.
<PNAME>;（それじゃ、スキー場で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en la estación de esquí.
<PNAME>;（それじゃ、神社で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en el santuario.
<PNAME>;（それじゃ、神社で、伊集院さんを待つか。）;Entonces, esperaremos al Sr. Ijuin en el santuario.
<PNAME>;（今日は、早乙女さんとデートだ）;Hoy tengo una cita con la Sra. Saotome.
<PNAME>;（今日は、早乙女さんとデートだ）;Hoy tengo una cita con la Sra. Saotome.
<PNAME>;『早乙女さんのことについて知りたいんだけど。;Quisiera saber más sobre la Sra. Saotome.
<PNAME>;『よし、次は、早乙女とだ。;Bien, la siguiente es con Saotome.
<PNAME>;『しばらく早乙女さんと話し込んだ;Estuve hablando un rato con la Sra. Saotome.
<PNAME>;『早乙女さんもいたのか。;¿También estaba la Sra. Saotome?
<PNAME>;『あつ、今日は、早乙女さんの誕生日じゃないか。;Ah, hoy es el cumpleaños de la Sra. Saotome.
<PNAME>;（もしかして、早乙女さんを知らず知らずのうちに傷つけてたのかな⋯。）;¿Puede que haya herido a la Sra. Saotome sin darme cuenta…?
<PNAME>;『今日の自由行動は、この前の約束通り早乙女さんと一緒だ。;La actividad libre de hoy es, tal como acordamos, con la Sra. Saotome.
<PNAME>;『まだ早乙女さんは、来ていないようだな。;Parece que la Sra. Saotome aún no ha llegado.
<PNAME>;（早乙女さんにプレゼントをもらえるなんて、おれは幸せ者だー！）;¡Recibir un regalo de la Sra. Saotome me hace sentir afortunado!
<PNAME>;（神様、何とぞ早乙女さんと今以上に仲良くなれますように。）;Dios, por favor permíteme llevarme aún mejor con la Sra. Saotome.
<PNAME>;（おつ、丁度いいところに早乙女さんが来たぞ。）;Oh, justo a tiempo llega la Sra. Saotome.
<PNAME>;（あつ、早乙女さん。）;Ah, Sra. Saotome.
<PNAME>;『よし、次は、早乙女さんとだ;Bien, la siguiente es con la Sra. Saotome.
<PNAME>;『よし、次は、早乙女さんとだ。;Bien, la siguiente es con la Sra. Saotome.
<PNAME>;（早乙女さんを、傷つけたといううわさが、流れてたそうだ。）;Parece que ha habido rumores de que herí a la Sra. Saotome.
<PNAME>;（どうやら好雄の話では、俺が早乙女さんを、傷つけたといううわさが、流れてたそうだ。）;Parece que, según Takayoshi, hay rumores de que herí a la Sra. Saotome.
