Character name;Japanese text;English text
<PNAME>;（今日は、伊集院さんとデートだ）;(I have a date with Ijuin-san today.)
<PNAME>;（今日は、伊集院さんとデートだ）;(Today, I have a date with Ijuin-san.)
<PNAME>;『伊集院さんのことについて知りたいんだけど。;"""I would like to know about Ijuin-san."""
<PNAME>;『よし、次は、伊集院とだ。;(Okay, next time, with Ijuin-san.)
<PNAME>;『しばらく伊集院さんと話し込んだ;(I talked with Ijuin-san for a while.)
<PNAME>;『伊集院さんもいたのか。;"""Is Ijuin-san here too?"""
<PNAME>;『あつ、今日は、伊集院さんの誕生日じゃないか。;"""Ah, today is Ijuin-san's birthday, isn't it?"""
<PNAME>;（もしかして、伊集院さんを知らず知らずのうちに傷つけてたのかな⋯。）;(Maybe I've unknowingly hurt Ijuin-san...)
<PNAME>;『今日の自由行動は、この前の約束通り伊集院さんと―緒だ。;"""I'll spend today's free time with Ijuin-san, as promised."""
<PNAME>;『まだ伊集院さんは、来ていないようだな。;"""I see Ijuin-san has not arrived yet."""
<PNAME>;（伊集院さんにプレゼントをもらえるなんて、おれは幸せ者だー！）;(I'm so lucky to get a present from Ijuin-san!)
<PNAME>;（神様、何とぞ伊集院さんと今以上に仲良くなれますように。）;(God, please help me get to know Ijuin-san even better than I already do.)
<PNAME>;（おつ、丁度いいところに伊集院さんが来たぞ。）;(Oh, Ijuin-san arrived just in time.
<PNAME>;（あつ、伊集院さん。）;(Oh, Ijuin-san.)
<PNAME>;（それじゃ、近所の公園で、伊集院さんを待つか。）;(Then, let's go to the the neighborhood park and wait for Ijuin.)
<PNAME>;（それじゃ、近所の公園で、伊集院さんを待つか。）;(I'll wait for Ijuin at the neighborhood park then.)
<PNAME>;（それじゃ、きらめき中央公園で、伊集院さんを待つか。）;(Then, let's go to the Kirameki Central Park and wait for Ijuin.)
<PNAME>;（それじゃ、きらめき中央公園で、伊集院さんを待つか。）;(I'll wait for Ijuin at Kirameki Central Park then.)
<PNAME>;（それじゃ、ショッピング街で、伊集院さんを待つか。）;(Then, let's go to the the shopping district and wait for Ijuin.)
<PNAME>;（それじゃ、ショッピング街で、伊集院さんを待つか。）;(I'll wait for Ijuin at the shopping district then.)
<PNAME>;（それじゃ、水族館で、伊集院さんを待つか。）;(Then, let's go to the the aquarium and wait for Ijuin.)
<PNAME>;（それじゃ、水族館で、伊集院さんを待つか。）;(I'll wait for Ijuin at the aquarium then.)
<PNAME>;（それじゃ、動物園で、伊集院さんを待つか。）;(Then, let's go to the the zoo and wait for Ijuin.)
