none;禅門怪人モンドー;Zen Monster Mondo


none;禅門怪人モンドー「戦闘員諸君！;Zen Monster Mondo: "Soldiers!"
none;禅門怪人モンドー「今回の作戦は、幼稚園のバスを襲い、我が幻魔帝国ナゾラーの戦闘員とするのだ。;Zen Monster Mondo: "The plan is to attack the kindergarten bus and turn the children into soldiers for the glorious Demon Empire Nazora!"
none;戦闘員「ナゾーーッ！;Soldier: "Nazo!!!"

none;．面黒ゼミナー「我が偉大なる幻魔帝国首領、大聖幻帝ナゾール様のために。;Female Executive Menkuro Seminar: For our great Genma Empire leader, Grand Holy Emperor Nazor.
combatant;「ナゾッナゾッナゾッナゾッ;Nazo, Nazo, Nazo, Nazo..

none;カルトレッド「カルトレッド！;Cult Red: "Cult Red!"
none;カルトブラック「カルトブラック！;Cult Black: "Cult Black!"
none;カルトブルー「カルトブルー！;Cult Blue: "Cult Blue!"
none;カルトイエロー「カルトイエロー！;Cult Yellow: "Cult Yellow!"
none;カルトピンク「カルトピンク！;Cult Pink: "Cult Pink!"

everyone;「九伊豆戦隊カルトマン！;Everyone: "Quiz Sentai Cultman!"
everyone;カルトレッド「人類の宝である幼稚園児の誘拐など、国会が解散しようとも、このカルトマンが許さん！;Cult Red: Kidnapping kindergarten children, who are treasures of humanity, even if the diet were to dissolve, this Cultman will not permit it!
everyone;禅門怪人モンドー「飛んで火にいるカルトマン。今日こそ貴様達の最後だ。戦闘員どもかかれ！;Zenmon Monster Mondo: Flying into the fire, Cultman. Today will be your end. Combatants, attack!
none;カルトピンク「初級カルトクイズ。１００枚の色紙の９９枚目の紙の色は何？;Cult Pink: Beginner Cult Quiz. What is the color of the 99th sheet out of 100?
combatant;「ナゾッ？ナゾッ？ナゾッ？;Nazo? Nazo? Nazo?
none;禅門怪人モンドー「おのれ！;Zenmon Monster Mondo: You!


Soldier;戦闘員「ナゾーーッ！;Nazo!!!
Female Executive;．面黒ゼミナー「我が偉大なる幻魔帝国首領、大聖幻帝ナゾール様のために。;Female Executive Menkuro Seminar: For our great Genma Empire leader, Grand Holy Emperor Nazor.
combatant;「ナゾッナゾッナゾッナゾッ;Nazo, Nazo, Nazo, Nazo..
none;カルトレッド「カルトレッド！;Cult Red: "Cult Red!"
none;カルトブラック「カルトブラック！;Cult Black: "Cult Black!"
none;カルトブルー「カルトブルー！;Cult Blue: "Cult Blue!"
none;カルトイエロー「カルトイエロー！;Cult Yellow: "Cult Yellow!"
none;カルトピンク「カルトピンク！;Cult Pink: "Cult Pink!"
everyone;「九伊豆戦隊カルトマン！;Everyone: "Quiz Sentai Cultman!"
everyone;カルトレッド「人類の宝である幼稚園児の誘拐など、国会が解散しようとも、このカルトマンが許さん！;Cult Red: Kidnapping kindergarten children, who are treasures of humanity, even if the diet were to dissolve, this Cultman will not permit it!
everyone;禅門怪人モンドー「飛んで火にいるカルトマン。今日こそ貴様達の最後だ。戦闘員どもかかれ！;Zenmon Monster Mondo: Flying into the fire, Cultman. Today will be your end. Combatants, attack!
none;カルトピンク「初級カルトクイズ。１００枚の色紙の９９枚目の紙の色は何？;Cult Pink: Beginner Cult Quiz. What is the color of the 99th sheet out of 100?
combatant;「ナゾッ？ナゾッ？ナゾッ？;Nazo? Nazo? Nazo?
none;禅門怪人モンドー「おのれ！;Zenmon Monster Mondo: You!

none;禅門怪人モンドー「おのれ！情けない戦闘員どもめ。この禅門怪人モンドー様にはそんなクイズは通用せん。;Zenmon Monster Mondo: You! Useless combatants. A quiz like that won't work on Zenmon Monster Mondo!
none;禅門怪人モンドー「答えは白だ。;Zenmon Monster Mondo: The answer is white.
none;禅門怪人モンドー「答えは白だ。どうだ、カルトマン。;Zenmon Monster Mondo: The answer is white. How about that, Cultman?
none;カルトブラック「よつしゃ、正解や。;Cult Black: Alright, correct.
none;カルトレッド「大陵横断ウルトラキャノン！;Cult Red: Great Ridge Crossing Ultra Cannon!
none;カルトイエロー「マークＯＫ！;Cult Yellow: Mark OK!
none;カルトレッド「シュート！;Cult Red: Shoot!
none;禅門怪人モンドー「ヒケヤーッ！;Zenmon Monster Mondo: Retreat!
female executive;．面黒ゼミナー「もう信じらんな～い！;Female Executive Menkuro Seminar: I can't believe it anymore!
none;いつかこの面黒ゼミナーがお前達を倒しちゃうから。覚えてなさい！;Someday, this Menkuro seminar will defeat you. Remember this!
none;ナレーション「今回もカルトマン達の活躍により、ナゾラー達の陰謀はついえた。;Narration: Thanks to the efforts of Cultman and his team, the Nazolars' plot was thwarted once again.
none;ナレーション「しかし、幻魔帝国よりますます強力な怪人が襲つて来るだろう。;Narration: However, even stronger monsters from the Demon Empire will likely attack.
none;ナレーション「がんばれ！ぼくらのカルトマン！;Narration: Hang in there! Our Cultman!
