Japanese text;English text
部活―覧;Club List
文芸;Literature
演劇;Theater
科学;Science
電脳;Computer
美術;Art
吹奏楽;Brass Band
野球;Baseball
サッカー;Soccer
テニス;Tennis
水泳;Swimming
バスケ;Basketball
取り消し;Cancel
電話番号;Phone number
伊集院;Ijuuin
早乙女;Saotome
藤崎;Fujisaki
如月;Kisaragi
紐緒;Himou
片桐;Katagiri
古式;Koshiki
清川;Kiyokawa
好雄;Yoshio
鏡;Kagami
朝日奈;Asahina
美樹原;Mikihara
虹野;Nijino
優美;Yumi
館林;Tatebayashi
伊集院レイ;Rei Ijuuin
早乙女好雄;Yoshio Saotome
早乙女優美;Yumi Saotome
虹野沙希;Saki Nijino
藤崎詩織;Shiori Fujisaki
如月未緒;Mio Kisaragi
紐緒結奈;Yuina Himou
片桐彩子;Ayako Katagiri
古式ゆかり;Yukari Koshiki
清川望;Nozomi Kiyokawa
鏡魅羅;Mira Kagami
朝日奈夕子;Yuuko Asahina
美樹原愛;Ai Mikihara
館林見晴;Miharu Tatebayashi
文字表示速度;Text Speed
アイコンモード;Icon Mode
マウス設定;Mouse Settings
メニューモード;Menu Mode
カーソル速度;Cursor Speed
音声モード;Voice Mode
設定終了;Close Settings
近所の公園;Neighborhood Park
あなたの名字を教えてくれる？;Can you tell me your last name?
名前;Name
あだ名;Nickname
名前は？;What's your name?
それじゃ、あだ名は？;Then, what's your nickname?
誕生日と血液型も教えてね？;Also, tell me your birthday and blood type, okay?
誕;Birthday
血;Blood Type
誕生日;Birthday
誕生月;Birth month
血液型;Blood Type
これでいい？;Is this okay?
はい;Yes
藤崎詩織の誕生日と血液型は覚えてる？;Do you remember Shiori Fujisaki's birthday and blood type?
詩織;Shiori
いいえ;No
プロローグ;Prologue
遅い;Slow
普通;Normal
速い;Fast
文字速度;Text speed
システム設定画面;System settings screen
廊下;Hallway
デートスポット;Date spot
次のページへ;To the next page
きらめき中央公園;Kirameki Central Park
ショッピング街;Shopping District
植物園;Botanical Garden
美術館;Art Museum
図書館;Library
ゲームセンター;Arcade
プラネタリウム;Planetarium
カレンダー;Calendar
女の子の評価を聞く;Ask about the girls' opinions
女の子からの評価;Girls' Assessment
星座;Sign
ＢＷＨ;BWH
クラブ;Club
備考;Notes
６月 １日;June 1st
Ａ型;Type A
８３．５６．８４;83-56-84
水泳部;Swimming club
趣味は音楽鑑賞、特にクラシック;Likes listening to music, especially classical.
成績優秀、スポーツ万能;Excellent grades, all-around athlete.
図書室;Library.
校門前;School Gate
―緒に帰らない？』;Shall we walk home together?
そうだよ。じゃお先に。』;Yes. Well, see you then.
中庭;Courtyard.
プレゼントをする。』;Give a present.
プレゼントをしない。』;Do not give a present.
ピアス』;Earrings
ハンカチ』;Handkerchief
クラシックのＣＤ』;Classical CD
スプーンリレー』;Spoon Relay
借りもの競争』;Scavenger Hunt
別の競技に参加する』;Participate in a different event
クラブ活動をする;Do club activities
クラブをやめる;Quit the club
情報誌;Information Magazine.
８月６日に神社で縁日があります;Festival at the shrine on August 6th.
９月３０日;September 30th.
Ｂ型;Type B
８６．６０．８６;86.60.86
吹奏楽部;Brass Band
趣味は絵を描くこと;Her preffered hobby is drawing.
明るく友達が多い、運動は駄目;Bright and has many friends, not good at sports.
２月１４日;February 14th
Ｏ型;Type O
文芸部;Literature Club
美術部;Art Club
動物園;Zoo
洋服でも見に行こうよ。』;Let's go look at some clothes.
小物でも見に行こうよ。』;Let's go look at some accessories.
ジャンク屋に行こうよ。』;Let's go to the electronics store.
ブティック;Boutique.
全然、ゆつくり見てていいよ。』;Not at all, take as much time as you need.
もうちょつとね。』;Just a little more.
待つてることも、考えてくれよ。』;Think about the fact that I'm waiting too.
美術室;Art Room
期末試験結果発表;Final Exam Results
ＰＬＡＹＥＲ;PLAYER
園内;Inside The Park
全然。俺の方が絵になるな。』;Not at all. I'm more picturesque.
特に自然の中だとね。』;Especially in nature.
そう思うよ。』;I think so too.
合宿所;Lodge
ラッキー！のぞいちゃえ！';Lucky! Let's take a peek!
いや、やめとこう。';No, let's not.
左の窓からのぞく。';Peek through the left window.
真ん中の窓からのぞく。';Peek through the middle window.
右の窓からのぞく。';Peek through the right window.
遊園地;Amusement Park
観覧車;Ferris Wheel
詩織と乗るぜ。';Let's ride with Shiori.
片桐さんと乗るぜ。';Let's ride with Katagiri-san.
ジェットコースター;Roller Coaster
ゴーストハウス;Haunted House
詩織と入るぜ。';Let's go in with Shiori.
片桐さんと入るぜ。';Let's go in with Katagiri-san.
さりげなく趣味とかを聞き出す。';Casually ask about their hobbies.
それとなく好きな場所を探る。';Subtly find out their favorite places.
２月 ３日;February 3rd
８０．５９．８２;80.59.82
身体が弱いことを、気にしている;Worried about being physically weak.
